epoch;num_critics: 10 - eval/reward_mean;num_critics: 50 - eval/reward_mean;num_critics: 20 - eval/reward_mean;num_critics: 2 - eval/reward_mean;num_critics: 5 - eval/reward_mean;SAC-20;SAC-10
99;-568.5207114871274;3631.802923445932;705.9122735585324;-594.4262163201133;1263.2478174814162;-437.615226964129;1222.2843584240727
100;-571.572560447073;3614.518788099672;319.7737980506142;-538.6594247259488;1268.847036047077;-197.8915445235576;2202.8540203194234
101;-550.6318062546916;3494.8279094977506;1222.0147720958532;-616.2126613792437;1326.9116440169503;-389.5216507852284;1924.1001511445588
102;-568.3772260466383;3241.912126008461;1071.2230006925888;-542.7082098973038;1303.892076159079;-137.9648922265355;2695.2333264396757
103;-583.1045918902768;3441.9895124436275;-60.280631857132825;-596.851681747896;1185.1471044821046;-288.36958983961114;3222.508428366596
104;-542.314558476435;3578.8616548114524;482.11075967439035;-536.4274293941301;1155.6593142885254;-115.2972941573059;2292.738843502011
105;-488.58733726048604;3496.4730900869026;397.7600003332373;-565.4318183579334;1178.0713179606296;-198.2380465411064;2990.2243596173616
106;-581.8711359104198;3618.6468290219464;661.8430123009718;-585.9720122749384;1189.1802922394609;-102.57199543561005;2290.6124878330143
107;-518.8936011391982;3442.717492638076;1254.5564645151337;-568.1236574880428;1198.97812388055;79.30098437992119;3211.427830800779
108;-538.5113073941;3405.063858206077;1590.153337166355;-593.9430327278808;1152.9303975912546;166.27342343894543;2661.4037212564363
109;-541.7507531845295;3207.7414264134777;292.01038875865777;-573.1155770386322;883.0226080350387;268.158230080333;2866.62473734941
110;-550.4346889505968;3210.0520671634267;2257.724626357585;-512.0306434241222;800.5052545087141;26.246858187075976;3049.0305828841583
111;-517.222536409869;3492.861072156894;676.6435693550485;-588.4202241791916;784.5615818312461;-22.28200751375187;1992.776292978897
112;-538.6415438511481;3466.8254437410337;1720.4596061032923;-522.6344142035596;911.6071005429712;136.14401728397507;3140.860781306402
113;-530.542347144627;3302.5388157192756;864.5582303766139;-536.9036188944995;864.2998375004512;541.8119357035852;2821.8441143051173
114;-498.65999691729905;3392.4794157138604;1272.5853018285602;-498.47296328718795;484.71275882126525;589.0369867539483;3491.6158069869293
115;-464.20275407345054;3436.725115182101;577.3089125932487;-562.1601276030285;1124.6437313489475;948.0457642094636;3196.75083337267
