epoch,critic_reduction: mean-8 - eval/reward_mean,critic_reduction: mean-4 - eval/reward_mean,critic_reduction: mean-2 - eval/reward_mean,critic_reduction: mean-1 - eval/reward_mean,critic_reduction: mean-0.5 - eval/reward_mean,critic_reduction: mean - eval/reward_mean,critic_reduction: edac-halfcheetah-full-replay-230318-212450 - eval/reward_mean
190,-603.0278818,2834.951702,2461.945295,3751.809204,325.867523,-599.1917158,5281.512435
191,-602.5744673,2771.298373,1399.195181,2326.697895,-156.3445521,-599.5717038,5095.812475
192,-602.8918486,2834.402729,2051.434865,3586.648165,428.3616395,-599.7931309,5059.531674
193,-603.081012,2831.948588,1813.528579,3215.376551,319.6522255,-598.6246806,5473.773603
194,-602.9542943,2821.320236,2391.864367,3343.847351,148.7041249,-599.8331999,5125.880498
195,-603.9212736,2928.410152,2331.644965,2954.486821,132.8831903,-600.7009482,5014.811879
196,-602.6696011,2871.430969,2935.7268,2394.25667,476.3727927,-600.519037,5140.491223
197,-603.7538909,2801.686256,1067.570486,3071.693218,-41.70555711,-599.8220474,5105.284116
198,-602.8474404,2945.549944,1331.082863,2253.478306,515.3621727,-598.8764072,5268.578602
199,-603.0074147,3001.184987,1889.822632,4051.329122,52.23212619,-598.3284714,5103.888204
200,-603.4240286,2989.515002,2561.941962,2236.944095,572.1291512,-598.6244722,5468.055833
201,-604.1159777,3023.326939,3042.042992,3252.226804,-19.16385647,-598.4252594,5214.215994
202,-603.8062429,2957.077827,542.5567793,4244.115496,417.0438024,-600.2621971,5268.328747
203,-603.3906188,2940.202078,3015.392658,1522.510037,-205.9595545,-598.7059751,5087.549056
204,-602.713902,3129.956855,795.3111748,3011.610638,361.0808108,-599.1194602,4995.414832
205,-601.9001595,2933.455178,2913.786373,2753.913696,21.84262081,-598.614392,5345.228679
206,-601.8208752,2926.5897,1899.314654,3567.202868,-10.67795578,-599.4875163,4952.993072
207,-602.4610604,3012.9871,2570.302241,2684.785258,185.6342553,-599.0148082,5062.117857
208,-602.5837514,3019.703057,459.9607639,2841.885078,42.10119428,-599.9229006,5368.925949
209,-603.8439642,3013.977669,2531.849896,2350.812756,395.1234546,-599.5542171,6889.113202
210,-603.3977341,3093.442661,1493.182421,1629.282982,65.95227177,-599.0312951,7043.744504
211,-602.7112983,3126.05008,1192.345066,2112.703671,32.52366483,-600.0311186,6730.427442
212,-603.605463,3195.59713,770.7431438,2261.41308,165.9868443,-599.0747126,6662.336863
213,-603.5656671,3291.005598,1203.013994,3503.939756,172.8505218,-599.4096385,6667.57977
214,-603.4311105,3094.350011,1406.12136,3590.905093,294.2495146,-599.0502957,7056.757672
215,-602.8142111,3107.413876,3087.826497,2055.18107,-404.1799249,-600.6954374,6860.20005
216,-602.4910482,3139.330197,1985.574388,3175.107496,-14.55696489,-600.1480931,6703.183647
217,-603.3612366,3295.761539,903.4544058,662.2996862,8.82456122,-600.2275639,6694.740691
218,-602.5308661,3252.783839,826.8864358,3607.862377,730.6172526,-600.2096722,6960.607517
219,-603.8298469,3143.09072,850.9934256,2895.453305,602.4902227,-600.2015097,5083.706881
220,-603.5208656,3324.544225,2863.785601,3326.256395,320.5978403,-600.2081922,7032.639039
221,-602.9486447,3127.062431,1077.005635,2125.750724,695.0830575,-598.8377332,7082.3447
222,-602.7474198,3356.930908,1527.445607,3606.894267,670.272581,-600.5228964,7101.196063
223,-604.5838539,3280.228503,2326.951383,2157.491831,911.1888259,-600.1771702,7223.07424
224,-603.4249223,3290.605203,815.8486872,3672.649879,1824.05702,-599.9450019,6011.134038
225,-603.4798937,3279.54824,2134.493231,3397.995904,533.6369507,-599.866212,7277.531835
226,-602.6414825,3333.011231,1202.170295,3129.969301,814.4561296,-599.0158855,6219.780617
227,-602.6241813,3237.197426,3215.321036,3074.368224,783.0023093,-600.2002967,7072.753376
228,-604.1832095,3461.483174,1429.477553,3965.917482,3058.932792,-599.8029643,7324.862456
229,-602.838591,3259.057095,581.6136922,1334.589869,1957.89899,-599.4644074,7216.138155
230,-604.0495475,3342.837531,1318.532135,3185.463115,1698.304584,-599.8506823,6089.475874
231,-602.581454,3444.715085,2313.160204,4437.996559,1886.743237,-600.144408,7784.69998
232,-602.8928696,3300.70213,3186.171547,3464.217731,1031.00308,-599.5655298,7388.633661
233,-604.2299411,3327.239932,2237.151008,3890.030794,1605.004216,-598.8657367,7577.62138
234,-602.6996803,3386.161392,1000.913464,1414.075933,1976.295111,-598.7076805,7411.434319
235,-603.611257,3312.75799,2964.055222,3468.393767,1437.453516,-599.6307418,7345.176082
236,-602.0959369,3415.843271,1928.404371,4027.104433,1785.905779,-599.3524824,7285.087886
237,-602.8747348,3368.833678,1328.508586,2599.869335,1324.996716,-600.3311962,7942.412756
238,-603.9200112,3422.577701,1176.162114,2331.550145,1548.258443,-598.2061486,7590.667842
239,-604.4587792,3539.796048,2980.542898,2606.498046,3158.086062,-598.8917014,7551.463962
240,-604.0750433,3463.828396,2206.359439,3232.978694,1476.111497,-599.716093,7626.314012
241,-602.9718952,3521.792179,3417.868539,4310.221283,1104.848901,-599.8727142,7689.303384
242,-603.7144195,3570.628897,2081.752237,3221.859463,1913.679215,-598.6234444,7738.095585
243,-603.166595,3575.004101,3100.174179,3558.61792,2175.609555,-599.354198,7662.819503
244,-604.6444424,3593.837186,1227.359069,2921.86881,1377.902027,-599.1740571,7830.05781
245,-603.1452303,3421.580092,3324.434364,1784.890738,3110.571412,-600.1933889,7983.635824
246,-602.6302623,3497.987406,3627.926996,4343.732894,3904.272396,-599.9700131,7621.850496
247,-604.0384815,3507.769732,2442.252881,2876.337354,3540.509917,-598.0924161,7957.899505
248,-602.8292233,3570.058408,2097.940852,3463.936744,2702.244896,-600.0752161,6958.099188
249,-603.0917524,3580.196301,2812.256327,3867.852741,2061.151219,-599.2668534,7535.649739
250,-603.876978,3568.629945,3878.730186,3544.894988,872.307871,-599.9237998,7919.067966
251,-602.8224352,3687.570905,1956.296913,3937.150657,2269.043614,-600.2635354,7894.245507
252,-603.2752801,3502.623965,2948.963105,3462.162374,2783.558606,-599.8616933,8174.307313
253,-603.098332,3437.228874,2776.837636,2990.124473,2331.07981,-599.3041709,7812.362842
