epoch;env: halfcheetah-full-replay - eval/reward_mean;env: halfcheetah-expert - eval/reward_mean;env: halfcheetah-medium-v2 - eval/reward_mean
340;8704.09591259211;-577.0162115614073;6242.882204288142
341;8608.515885210505;-692.9439458847744;6405.584342503624
342;8492.023396272582;-669.2602758300698;5625.707125626036
343;8661.320053247504;-595.3357464177159;6369.42804632467
344;8608.942438496735;-724.6838603177424;6404.1187472508145
345;8763.507614222259;-578.585365272387;6420.727020775511
346;8640.703940312062;-638.0659789786608;6502.795885364868
347;8566.080406928957;-633.1242359410501;6452.786269638861
348;8602.188196056315;-631.7834199237845;6254.188582332079
349;8697.95100069273;-656.507231478985;6500.872443446626
350;8642.09272944263;-712.1058876576137;6368.133233590774
351;8671.182428789354;-684.621070993949;6280.980864955802
352;8528.089168254392;-706.6029325331324;6344.649747555636
353;8799.263425534664;-652.8208467279143;6572.232781513774
354;8777.187206447466;-643.4801023955879;6562.110783818922
355;8856.165492804636;-729.6032010494913;6220.632944636504
356;8645.170600518912;-767.6560567515627;6530.579389238028
357;8681.939959552656;-662.5210103557082;6427.133391078729
358;8582.44240922167;-655.0988328983062;6320.814940245049
359;8426.770244960095;-611.2615859100391;6603.594902372996
360;8714.024279019115;-668.0645919190775;6493.473582218969
361;8592.257279459132;-584.2932751909891;6631.121229455947
362;8887.282263347915;-621.5610635154508;6391.86985292352
363;8753.605566879747;-585.5061809935565;6410.517200577459
364;8617.781860967581;-687.3402991816561;4915.4195852263665
365;8755.719617836468;-749.2677785249671;6446.814035235727
366;8710.988167200958;-690.0988191355216;6655.081093473318
367;8605.774176551862;-675.2947385235692;6688.585642629967
368;8625.561317010543;-678.9603202572355;6482.349560854783
369;8744.916991024487;-744.7223254802421;6532.152206744121
370;8660.1079591732;-724.1322171759086;6592.261289911627
371;8714.331859904247;-562.2088455845899;6735.313984710607
372;8697.792558233607;-665.180678409067;6440.58667225565
373;8951.11898547456;-627.6229365208308;6387.019167763398
374;8668.595891174919;-553.3780347739148;6341.683151103107
375;8587.291627951938;-703.7657051410242;6640.450754736802
376;8720.292226587137;-699.0722319964215;6686.946560668463
377;8686.411669183872;-635.8603230813885;6393.289189420078
378;8546.151729907222;-615.427391170633;6568.971458649568
379;8690.887054630579;-630.6515583803732;6473.681034431897
380;8661.029712874355;-755.0316531712203;6585.246463778749
381;8667.282362071157;-733.5610063006318;6472.639164060462
382;8758.02217583948;-694.329643639516;6565.349928754746
383;8734.81743275618;-671.9898810347919;6506.141174879697
384;8765.71745122589;-605.3771584528436;6473.889051775623
385;8773.074788299826;-654.6852098137604;6479.846696401231
386;8777.375328145252;-688.8318040866103;6449.873205565819
387;8815.5505693374;-617.2211668473549;6396.994622167253
388;8815.661329948387;-675.3116306969541;6452.714227269331
389;8775.671343492362;-677.3415341584712;6646.834310543973
390;8862.427380372927;-645.7035875894478;6563.619275628947
391;8564.044245439625;-659.9059493060415;6527.507248623324
392;8796.70210438203;-633.9204228314167;6672.132703667785
393;8761.338591608233;-693.8456829340571;6649.254659458138
394;8871.481758662847;-633.3946098882261;6493.626289205529
395;8790.529227631625;-717.5311797023676;6478.975540937198
396;8763.545603634462;-726.4840092707904;6232.089682179402
397;8797.149660363917;-672.9629427338318;6608.535432578729
398;8880.323443127145;-722.0775521394121;6372.217137760554
399;8775.921603533985;-727.3316421769357;6419.8458796739715
400;8878.396728378477;-640.872102164917;6669.9285480749895
401;8743.8155355399;-635.0370276104265;6439.259017931085
402;8538.42274066068;-607.5116406892879;6370.9609368948895
403;8639.710265680555;-587.3861393314644;6564.29825402892
404;8750.4368092854;-626.1850075044447;6494.98007683131
405;8717.701950738701;-602.6577238123098;6336.096537010315
406;8736.701742582627;-655.1621237573376;6415.337729959427
407;8780.369895578599;-676.758903074699;6380.081940359287
408;8795.469695690374;-507.4312670267676;6543.600978409285
409;8714.94473168589;-734.3355507462616;6577.723282407501
410;8706.665868944367;-640.4891513160807;6560.837041153485
411;8688.245103107498;-683.3270933002614;6611.006797429902
412;8640.174854366778;-542.5920187935191;6718.7722596302165
413;8755.709784757724;-639.7474411956845;6680.666699029331
414;8896.89804676668;-648.2573403241149;6388.872363986176
415;8790.731988810363;-539.194904968969;6587.391824129751
416;8717.475122053464;-651.799024859286;6481.246191864803
417;8762.537859137792;-632.3604422817282;6709.237036534694
418;8822.543859882277;-697.388377511011;6564.263962288278
419;8785.625106069056;-528.7832129623046;6578.95866057744
420;8775.337479084228;-641.5252828247246;6694.762215999671
421;8844.14523503233;-680.200382747856;6752.169787769677
422;8860.308868536013;-653.7345770762525;6542.691001895919
423;8894.889122814337;-690.6086304933108;6605.4905354023695
424;8803.30438191274;-784.2789501987493;6676.8567563018205
425;8717.842192917451;-627.601812600106;6539.146014542422
426;8740.507579181765;-653.2379107564389;6667.240390032556
427;8733.701899357342;-630.6799749922948;6754.840952563111
428;8649.961603491312;-691.9901712190318;6605.58148927016
429;8778.739733715769;-677.2734884817062;6546.817951797384
430;8895.986285131516;-703.8388978590538;6393.422793010751
431;8925.857651748507;-590.0553678655197;6638.96293786139
432;8835.828667481532;-696.3839439279509;6515.841042614763
433;8743.347394825096;-609.6688067405598;6718.967183606658
434;8884.0268198168;-599.1503795338022;6637.737123827401
435;8770.293201523877;-712.3831671225057;6551.511647431103
436;9132.491092784703;-574.4996432494188;6676.176310923578
437;8655.463949550653;-642.83320021538;6567.288845026135
438;8827.941550820686;-657.3455011854533;6697.310242068132
439;8700.616164879983;-615.7024091522062;6855.735859886668
440;8611.73091841627;-794.4862487834268;6681.454178057358
441;8653.139928267552;-673.4272590364809;6472.47902273948
442;8865.147484764757;-573.1368825366324;6697.985425054266
443;8715.53643475875;-658.8263610865286;6679.723308892688
444;8627.882191829813;-664.3725610700301;6685.030854843132
445;8568.989464303659;-774.0240093410346;6584.889179363255
446;8576.655164017982;-637.2194260976856;6395.086225060047
447;8688.954612006844;-670.0136400063494;5990.607185762191
448;8678.324436586769;-615.3231256614483;6878.257759232542
449;8603.61025399949;-719.8413348400261;6707.716882140693
450;8614.580395314755;-649.8211051632439;5666.545848599929
451;8733.207221352332;-665.9108461877646;6657.597984167648
452;8630.878298083615;-629.9057505369478;6647.412037538587
453;8555.037994558452;-664.3064974530203;6780.538488783486
454;9001.740921284712;-665.2390470101362;6616.74640675251
455;8869.106456015525;-694.2960829811524;6765.136885006692
456;8673.581872145947;-686.3303795884342;6416.785212550219
457;8775.60070619344;-757.1125546317671;6638.633166873695
458;8872.555469600278;-704.7109560433119;6759.404372460636
459;8535.247662667143;-594.2462843584254;6729.817393555388
460;8654.440678476916;-620.6955173208783;6473.546960737612
461;8606.079818058948;-687.7109361586133;6803.374680713782
462;8574.738885243762;-712.2759480085374;6501.131145479401
463;8724.225873561825;-636.7811600757896;6643.365173437318
464;8749.288882698173;-707.182518213617;6724.864569737649
465;8830.910067468332;-546.8861947578201;6755.525304242306
466;8821.259988795558;-684.6367111462428;6385.550919869245
467;8639.102767836988;-696.2080073572035;6775.895159045492
468;8619.61651007552;-623.8176820550109;6609.282481086766
469;8975.854835252205;-639.5100485995405;6775.97676861817
470;8785.527255037116;-587.7984206031022;6861.41705744164
471;8681.13782487361;-635.9252262273139;6788.333861656026
472;8692.999879522566;-842.3975679307431;6606.750894765211
473;8939.561553304165;-721.1307838394117;6826.226434337501
474;8712.660476150937;-613.6059613629927;6769.778589509784
475;8844.328877139871;-713.4869794332246;6594.6767054463435
476;8840.571688018339;-605.107040262971;6592.750297107096
477;8785.88343991545;-636.0484494762518;6828.755596605831
478;8830.454994308091;-869.903501723068;6817.534956311412
479;8614.17928820047;-735.6364111125562;6505.6197580102225
480;8823.255878887192;-708.9099237251734;6826.478934406429
481;8856.497210604972;-510.34857801661246;6862.689146894329
482;8859.967876068109;-750.3504119395488;6603.978170186198
483;8771.501819518675;-683.1345703037334;6806.663983179246
484;8790.473442653722;-631.8078673740647;6889.600377789735
485;8704.303458491855;-628.7635729157203;6559.579517880154
486;8883.270906588845;-568.5724517115764;6674.0627482010705
487;8943.709422353128;-643.3425494843793;6727.658059012574
488;9056.515367708762;-650.0891687072649;6932.675174654942
489;8961.348900060819;-659.273927804345;6840.970322216153
490;9017.456969075007;-610.2381311763928;6801.311368867855
491;8821.228433640159;-670.6003917241014;6563.194673836217
492;8910.339642543306;-631.3142760612999;6836.820007902495
493;8730.684799448401;-559.7694528683878;6819.943981181878
494;9095.648322370404;-604.6528670994144;6992.175393953087
495;8775.37835939649;-744.0969351057461;6746.60290234752
