"epoch","num_critics: 20 - _step","num_critics: 20 - _step__MIN","num_critics: 20 - _step__MAX","num_critics: 20 - eval/reward_mean","num_critics: 20 - eval/reward_mean__MIN","num_critics: 20 - eval/reward_mean__MAX","num_critics: 10 - _step","num_critics: 10 - _step__MIN","num_critics: 10 - _step__MAX","num_critics: 10 - eval/reward_mean","num_critics: 10 - eval/reward_mean__MIN","num_critics: 10 - eval/reward_mean__MAX"
"165","165","165","165","3223.5506003640994","3223.5506003640994","3223.5506003640994","165","165","165","4250.703533662485","4250.703533662485","4250.703533662485"
"166","166","166","166","2401.3257380830814","2401.3257380830814","2401.3257380830814","166","166","166","4150.394187746048","4150.394187746048","4150.394187746048"
"167","167","167","167","4504.389563068706","4504.389563068706","4504.389563068706","167","167","167","4127.494841455259","4127.494841455259","4127.494841455259"
"168","168","168","168","3577.655893369859","3577.655893369859","3577.655893369859","168","168","168","3915.925801136269","3915.925801136269","3915.925801136269"
"169","169","169","169","5338.373835873398","5338.373835873398","5338.373835873398","169","169","169","4168.448086531599","4168.448086531599","4168.448086531599"
"170","170","170","170","4142.250905084429","4142.250905084429","4142.250905084429","170","170","170","3983.6544482857607","3983.6544482857607","3983.6544482857607"
"171","171","171","171","5441.24424440797","5441.24424440797","5441.24424440797","171","171","171","4071.8182481735093","4071.8182481735093","4071.8182481735093"
"172","172","172","172","4189.868466765183","4189.868466765183","4189.868466765183","172","172","172","4093.5130012570125","4093.5130012570125","4093.5130012570125"
"173","173","173","173","4642.148225497368","4642.148225497368","4642.148225497368","173","173","173","4224.829713660988","4224.829713660988","4224.829713660988"
"174","174","174","174","6682.991275745293","6682.991275745293","6682.991275745293","174","174","174","3926.4351927320495","3926.4351927320495","3926.4351927320495"
"175","175","175","175","4914.612777501656","4914.612777501656","4914.612777501656","175","175","175","4215.566242551026","4215.566242551026","4215.566242551026"
"176","176","176","176","5539.851838376833","5539.851838376833","5539.851838376833","176","176","176","3878.516012983842","3878.516012983842","3878.516012983842"
"177","177","177","177","4441.550106578894","4441.550106578894","4441.550106578894","177","177","177","4154.84631059066","4154.84631059066","4154.84631059066"
"178","178","178","178","5561.187000694949","5561.187000694949","5561.187000694949","178","178","178","4139.910267010613","4139.910267010613","4139.910267010613"
"179","179","179","179","4172.879586137358","4172.879586137358","4172.879586137358","179","179","179","4277.661127103453","4277.661127103453","4277.661127103453"
"180","180","180","180","5804.138421729098","5804.138421729098","5804.138421729098","180","180","180","4110.804343726355","4110.804343726355","4110.804343726355"
